stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
3dpf,4.03,0,0,0.34,0
5dpf,0,0,0,0,0.93
10dpf,1.68,0.43,1.51,0,4.99
