stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,2.99,0,0,2.11,0,9.42
3dpf,2.3,0,0.43,0.35,0,2.52
5dpf,0,0.29,0.85,6.42,0.37,32.14
10dpf,1.18,2.73,0,0,0,5.23
