stage,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,0,0.84,0
2dpf,0.9,1.07,0.68,0.86
3dpf,0,3.54,1.26,0
5dpf,0,0,0.35,0.57
10dpf,0.4,0,0,0
