stage,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,1.19,0.59,0
3dpf,0.45,0,0,0
5dpf,0,0,0.36,0
10dpf,0,0,0,0.63
