stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
24hpf,1.14,0,0,0,0,0.99,0,0,0
2dpf,10.7,0,0.97,1.89,0.76,0,0,0.56,4.11
3dpf,93.65,0,0.84,0.63,1.69,0,0,0,0.69
5dpf,4.15,0.43,1.66,0,2.02,0.87,1.11,0,3.22
10dpf,16.14,0,0,1.5,0.44,1.32,0,0,0.67
