stage,hematopoietic_system,mesenchyme,neural_crest,periderm
24hpf,0,0,0,2.05
2dpf,0.55,0,1.45,0
3dpf,0,0.43,0,0
5dpf,3.55,0,0,5.37
10dpf,0.58,0,0,0
