stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
12hpf,0,2.76,0,0,0,0
2dpf,1.98,0,0,1.58,2.33,0.51
3dpf,25.17,0,0,3,0,0
5dpf,1.93,0,0,0.82,0,2.18
10dpf,8.98,0,0.48,0.89,0,0
