stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,9.68,0,0,101.36,0
12hpf,0,0,0,0,12.96,0,0,185.47,1.92
14hpf,8.58,0,0,0,2.81,0,0,44.17,15.54
16hpf,43.06,0,0,0,0,5.79,0,7.91,2.13
19hpf,143.09,0,1.83,0,0,24.6,0,4.12,1.94
24hpf,257.1,0,1.4,0,0,180.67,0.9,3.82,18.38
2dpf,245.57,0,2.29,7.44,9.99,166,4.94,1.32,43.43
3dpf,1449.24,6.22,0.46,15.84,0.8,275.55,0.75,1.88,10.39
5dpf,320.14,2.53,3.91,32.92,2.58,177.79,2.02,7.65,21.36
10dpf,723.09,7.44,3.33,12.1,1.66,727.72,0.66,2.8,7.98
