stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,74.8,1532.89
12hpf,108.63,14.76,0,0,3.81,0,0,0,13.48,495.85
14hpf,0,0,0,0,0,0,0,0,2.23,1179.14
16hpf,2.14,15.79,0,3.41,1.64,1.63,0,0,1.81,287.08
19hpf,55.77,19.87,0,12.68,3.58,0,0,0,7.01,3959.55
24hpf,61.19,18.5,0.89,6.65,1.04,4.7,0,0,14.04,1224.24
2dpf,70.81,7.42,10.93,4.31,19.57,15.26,9.27,2.59,11.89,524.06
3dpf,56.91,41.74,0,1.15,6.9,20.27,1.9,0,4.35,58.8
5dpf,44.05,15.05,6.01,8.8,10.26,102.69,6.13,2.81,35.14,357.88
10dpf,111.67,35.85,1.58,6.77,3.47,64.02,5.7,0,13.75,61.17
