stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,1.72,0,0,0.5,0.6,0,0
3dpf,46.33,0,0,0,0.77,0,0
5dpf,1.09,0.85,0.58,0.72,1.9,0.34,0
10dpf,35.81,0,1.42,0,2.33,0,0.45
