stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,0.67,0,0,0.51
3dpf,21.57,0,0,1.64
5dpf,1.09,0.81,0,0.68
10dpf,11.63,0,0.88,0
