stage,central_nervous_system,endoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,1.26,0,0,0,0
3dpf,6.26,0,1.87,0,0.43
5dpf,2.23,0,2.35,0.8,0
10dpf,7.67,1.21,1.81,1.24,5.55
