stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,1.14
3dpf,2.01,0.37,0,0
5dpf,1.41,0,2.24,12.24
10dpf,1.84,0,1.26,3.48
