stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,426.3,37.19,0,0,191.22,21.23,22.07,1934.34,50.78
12hpf,11.24,0,0,0,1.91,0,0,174.02,3.86
14hpf,17.5,0,0,0,14.48,0,0,483.33,0
16hpf,1.62,0,0,0,0,0,0,48.78,0
19hpf,0,0,0,0,0,0,1.65,84.73,0
24hpf,2.07,0,0,0,0.82,0,0.83,74.63,0
2dpf,1.16,0,0.95,1.64,0,2.11,0,1.85,7.75
3dpf,3.18,0,0.54,0,1.1,3.93,0,0.57,0.9
5dpf,2.06,0,0,0.3,0,8.26,0,1.01,4.78
10dpf,3.24,0,0.7,0,0,4.35,0,0.79,1.44
