stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,6.31,0,0,0,0
2dpf,0,0,0,0,2.46
3dpf,21.79,0,0.34,0,0
5dpf,0.32,0.69,0.71,0.38,0.74
10dpf,16.97,0,3.91,0,0
