stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,8.42,0,0,0,0,0,0,0,0
12hpf,4.39,8.4,0,0,0,0,0,1.92,3.83
14hpf,23.26,0,0,0,0,0,0,2.55,0
16hpf,18.72,3.75,0,4.23,0,0,0,0,0
19hpf,23.52,0,0,0,0,0,0,0,0
24hpf,19.99,0,0,0,0,0.93,0,1.14,2.57
2dpf,394.71,2.28,4.4,10.23,19.21,63.29,5.72,18.53,17.02
3dpf,924.53,0.76,2.08,3.65,6.08,31.47,0.37,0.94,5.64
5dpf,105.59,1.91,3.67,3.76,3.29,34.65,3.76,6.83,14.18
10dpf,402.13,3.27,0,3.76,1.4,12.48,2.22,4.28,2.41
