stage,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
24hpf,1.05,0,0,0
2dpf,16.21,0,0.49,0.48
3dpf,2.65,0,0,0
5dpf,12.22,0.34,0.45,0
10dpf,4.11,0,0,0
