stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,36.66,0,0,0,0,0,0,0,0
12hpf,37.21,0,0,0,0,0,0,0,0
14hpf,28.88,0,4.92,0,0,0,0,3.49,6.36
16hpf,67.54,0,10.53,0,0,0,1.87,1.85,0
19hpf,80.25,0,27.51,0,0,0,0,0,1.71
24hpf,52.03,0,0,2.05,0.86,0.87,0,3.89,0.87
2dpf,303.17,0.5,27.6,2.24,9.78,1.98,0,1.25,4.31
3dpf,111.05,0.95,5.93,0,4.22,0,0,0,0.61
5dpf,226.09,2.37,12.86,0,8.93,0.59,1.22,1.15,4.64
10dpf,55.31,0.88,12.51,0,2.35,0,0,0,0.41
