stage,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0.99,0,0,0
3dpf,0,1.96,0.43,0.47,0
5dpf,0.32,0,0,0,0.33
10dpf,0,0,0,0.37,0
