stage,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm
24hpf,0,0,0.86
2dpf,0,0,2.11
3dpf,0,0,0.33
5dpf,0.46,0,1.56
10dpf,1.85,1.23,0
