stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,neural_crest
2dpf,1.84,0,0.78,0
3dpf,1.23,0,0,0.55
5dpf,0.96,0.55,0,0
10dpf,2.26,0,0.48,0
