stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,neural_crest,periderm
2dpf,0,0,1.75,0,0
3dpf,2.85,1.72,0,0,0.32
5dpf,0,0,0,0.67,0.84
10dpf,0.6,0,0,0,0
