stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,1.83,1,0,2.08,2.48,2.84
3dpf,0,0,0,1.57,0,0
5dpf,0,0.62,0.84,0.67,0,0.6
10dpf,0,0,0,0.48,0,1.07
