stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,neural_crest,periderm
2dpf,3.82,0,0,0,43.84,0
3dpf,1.15,0,0,0.81,0,0.33
5dpf,0,0,1.68,5.92,0,1.06
10dpf,2.39,0.49,8.14,0.46,11.24,1.43
