stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm
10hpf,11.55,0,0,8.69
12hpf,0,2.83,0,0
14hpf,0,13.15,0,0
5dpf,0,0,1.04,0
