stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,1.04,0,0,5.9
3dpf,2.34,0,3.32,0,0,0
5dpf,0,0.91,5.44,3.71,0.3,0.29
10dpf,9.65,0,2.53,0,0,1.06
