stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme
2dpf,0.67,0,0,0
3dpf,0.3,0.52,0,0.42
5dpf,0,0,2.67,0.33
10dpf,1.99,0,7.12,0
