stage,central_nervous_system,endoderm,intermediate_mesoderm,neural_crest,notochord,periderm
3dpf,0.92,0.41,0,0,0,0.57
5dpf,0,0,0.68,0,0,0.33
10dpf,0.58,2.05,0.43,1.1,0.57,0
