stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,1.53,0,0.48,0.75,0.64,2.39,0,0
3dpf,7.83,0,21.14,0,1.2,0,0,0
5dpf,3.25,0.79,8.41,0.54,6.5,0,1.41,2.04
10dpf,13.48,1.31,85.01,0,3.12,0,0.94,0.55
