stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,1.51,0,0.71,0,0,0,0
3dpf,14.27,0.3,5.74,0,0,0.77,0.49
5dpf,2.59,0.73,4.61,0,0.41,0,1.06
10dpf,15.24,0,4.69,0.75,0,1.25,0.79
