stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,0,0,1.92,0,0,1.27
3dpf,3.84,0,1.9,0,0,0.61
5dpf,0,0.4,0.97,5.18,0.51,43.01
10dpf,8.18,0,1.17,2.84,0,7.67
