stage,central_nervous_system,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,1.54,1.85
3dpf,12.02,0,0,0
5dpf,0.42,0,0,0.57
10dpf,8.69,1.02,0,0
