stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
2dpf,2.31,0,0.5,0.63,0.71
3dpf,10.21,0,0,0,0
5dpf,0.39,0,0,0.44,0
10dpf,5.8,0.43,0,0,0
