stage,endoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,2.01,0,22.55
3dpf,0.32,0,0,9.23
5dpf,0.53,0,0.66,31.22
10dpf,1.39,0,0.86,0.96
