stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,122.81,0,54.72,0,10.78,0,0,0,54.37,35.21
12hpf,1418.07,38.11,79.12,10.54,153.98,34.11,0,95.91,607.12,453.24
14hpf,10.14,0,42.01,3.76,0,6.03,0,0,2.37,11.54
16hpf,145.55,49.54,4.41,1.63,70.68,23.9,19.02,11.15,27.85,216.94
19hpf,203.99,3.82,0,3.39,31.12,2.06,188.91,0,0,122.84
24hpf,119.68,21.73,342.77,35.64,95.03,22.48,430.01,1.9,20.97,48.96
2dpf,233.12,9.27,256.08,144.35,200.74,294.06,308.45,26.98,114.03,103.23
3dpf,344.6,18.28,154.85,77.28,49.53,574.52,12.44,0,33.91,43.31
5dpf,173.13,28.05,540.49,246.5,90.03,890.01,112.52,66.91,138.43,211.13
10dpf,356.65,29.68,374.46,158.73,45.88,666.55,100.47,1.02,52.66,59.28
