stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,14.3,0,0,0,0,0,0,0,0
12hpf,24.91,0,0,0,0,0,0,0,0
14hpf,38.79,0,0,3.22,0,0,0,5.04,0
16hpf,80.27,0,0,16.15,0,0,0,0,0
19hpf,124.46,0,0,48.95,0,0,0,0,3.54
24hpf,58.07,0,0,0,0,0,0,0,0.82
2dpf,195.5,0,3.86,22.7,2.56,3.1,0,0,2.14
3dpf,71.22,0.34,0.48,11.42,0.46,1.92,0.66,1.59,0.61
5dpf,92.95,0.53,0,13.14,0.43,3.34,1,0.48,2.49
10dpf,46.63,0,0,14.54,0,0.67,0,0,0
