stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
16hpf,0,0,0,1.78,0,1.82,0
24hpf,1.22,0,0,0,0,0,0
2dpf,0,0,0,0.5,20.43,0,0.57
3dpf,20.74,0,0.35,7.15,0,0,0
5dpf,2.3,2.19,2.75,22.43,9.55,0,0
10dpf,18.91,0,1.17,13.96,3.14,0,0
