stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,6.36,0,0.57,0,0
3dpf,7.18,0,0,0,0
5dpf,3.46,0.42,0,1.99,0.86
10dpf,0.98,0,0,0,0
