stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,1.64,0,0,0,0.48
3dpf,0.39,0.31,0.75,0,0
5dpf,0,5.71,0,0.38,0.38
10dpf,0,4.82,0,0,0.43
