stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,190.82
12hpf,0,1.79,0,0,0,0,0,0,7.42
14hpf,2.4,0,0,0,0,0,0,0,132.76
16hpf,1.67,0,0,0,0,0,0,1.74,15.61
19hpf,1.72,0,0,0,0,0,0,0,79.43
24hpf,1.88,0,0,0,0,0,0,0,29.66
2dpf,25.18,0,2.77,2.8,4.41,8.17,3.27,2.25,145.09
3dpf,64.54,3.26,3.67,5.11,0.74,3.92,0.75,0.39,61.76
5dpf,23.6,1.96,9.47,6.25,0.36,16.49,0,1.33,125.62
10dpf,38.72,7.17,19.79,14.03,0,1.64,0,1.59,70.77
