stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,63.43,0,0,0,60.11,0
12hpf,3.27,0,100.56,32.97,0,0,0,139.62,0
14hpf,0,170.65,24.22,8,0,0,0,29.84,0
16hpf,5.78,661.14,55.36,0,0,0,0,0,0
19hpf,0,137.11,12.89,0,0,0,0,0,2.09
24hpf,0,336.63,0,0,0,0,0,0,0
2dpf,0.92,23.88,2.85,3.99,0.56,0,0,0,1.54
3dpf,0,2.36,0,0,0,0,0,0,0
5dpf,5.73,28.58,1.87,1.34,17.92,1.08,0.65,2.68,4.42
10dpf,1.46,49.74,3.43,0,8.8,0,0,0.88,1.09
