stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,29.32,0,0,0,0,0,0,0,0
12hpf,10.14,0,0,0,0,0,0,0,2.02
14hpf,23.81,0,0,7.67,0,0,0,0,0
16hpf,26.95,0,0,29.28,0,0,0,0,0
19hpf,13.27,0,0,15.32,1.55,0,0,0,0
24hpf,25.73,0,0,0,1.79,0,0,0,0
2dpf,92.4,0,0.75,11.66,6.61,17.62,1.21,3.75,6.95
3dpf,46.66,0.51,0,6.05,2.13,23.22,0,0,1.24
5dpf,39.85,2.51,0.37,5.13,0,19.3,0,0.86,2.26
10dpf,25.23,1.35,0.53,4.77,0,10.68,0.59,0,1.13
