stage,central_nervous_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,1.77,1.7,0.75,0
3dpf,10.4,2.33,0.33,0,0
5dpf,0,3.34,0,0,0.34
10dpf,7.09,3.95,0,0,0.61
