stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0.67,0.56,0.48,4.05,0.5,2.56
3dpf,1.56,0,0,0,0,0
5dpf,0,0,0.58,0,0,1.47
10dpf,1.28,0,0,2.53,0,0.47
