stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
19hpf,0,0,1.83,0,0,0,0
24hpf,0,0,1.06,0,0,0,0
2dpf,0,0,30.2,0,0.89,0,0.75
3dpf,0.34,0.85,8.22,0.67,0.56,0,5.33
5dpf,2.76,2.51,104.92,0.92,3.24,0.82,74.84
10dpf,0.67,0,24.52,0,1.42,0,22.26
