stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,17.34
12hpf,0,0,0,0,0,2.63,0,0,1.97
14hpf,12.02,0,0,0,0,3.39,0,0,0
16hpf,85.2,0,0,0,0,16.76,0,0,0
19hpf,105.43,0,0,0,0,2.86,0,0,0
24hpf,243.93,0,1.15,0.82,1.01,6.59,1.16,2.36,5.71
2dpf,588.93,0.62,2.86,8.11,17.48,45.37,62.54,4.7,18.78
3dpf,1524.55,3.2,1.98,2.37,2.33,41.2,0,0.63,7.05
5dpf,42.92,2.78,2.27,13.66,1,56.76,4.04,5.42,17.55
10dpf,844.17,5.13,3.92,11.11,1.32,41.76,5.29,6.8,1.96
