stage,central_nervous_system,endoderm,intermediate_mesoderm,neural_crest,paraxial_mesoderm
2dpf,16.4,0,1.43,0,0.48
3dpf,2.37,0.35,0,0,0
5dpf,6.01,0.57,1.76,0,0.29
10dpf,2.94,0,1.14,0.85,0
