stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,5.09,0.82,1.92,1.47,0,9.22
3dpf,1.16,0.39,0,0,0,0.66
5dpf,0.35,0.91,0,0.77,0.99,2.1
10dpf,2.37,0.82,0,0,0,1.23
