stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
24hpf,0.82,0,1.72,0,0,0,0,0
2dpf,0,0,0.53,0,0.9,0,0,0
3dpf,16.79,0.34,125.58,3.98,4.99,0,0.65,150.84
5dpf,3.62,0.46,46.78,1.22,13.93,1.13,1.76,392.31
10dpf,3.94,2.5,15.64,0.88,1.21,0,0,300.96
