stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,0,0,0,1.05,0,0,6.2
3dpf,2.14,0.32,0,0,0,0,2.6
5dpf,1.98,0.78,0,0,1.28,1.08,4.9
10dpf,1.44,2.96,1.8,0,0,0,7.39
