stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,23.01,0
12hpf,0,0,0,0,0,0,0,61.82,0
14hpf,0,0,0,0,0,0,0,62.26,2.89
16hpf,5.28,0,0,1.72,2.17,0,0,154.11,6.05
19hpf,5.18,0,0,0,0,0,0,31.98,5.8
24hpf,13.25,0,0,0,0,0,0,12.1,0
2dpf,85.09,0,0.68,12.34,25.43,27.41,16.16,29.68,7.91
3dpf,222.79,0.55,0,0,1.86,24.85,0.37,1.04,4.25
5dpf,21.07,0.45,1.27,7.79,2.52,20.89,0.34,5.26,19.96
10dpf,101.25,10.14,0,10.09,0,15.43,0,4.96,18.14
