stage,central_nervous_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,0,7.75
3dpf,0,0,2.65,3.14
5dpf,0.85,0.87,3.95,25.1
10dpf,0,0,0.57,12.36
