stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,9.56,0,0,0,0,0,0,0,0
12hpf,0,0,0,0,0,0,0,0,5.08
14hpf,18.41,0,0,0,0,0,0,2.57,9.36
16hpf,38.39,0,0,0,0,0,0,0,4.23
19hpf,12.65,0,0,0,0,0,0,0,0
24hpf,40.49,0,0,0,0.82,0,0,0,0
2dpf,18.97,0,0,0,6.3,8.38,0.61,3.48,1.14
3dpf,274.34,1.1,0.75,5.59,0.73,13.36,0,1.36,0.7
5dpf,18.41,0,1.02,25.74,0,6.17,0,0.47,3.98
10dpf,161.01,0,0.82,7.13,0.43,5.12,0,1.04,1.83
