stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,392.76,0,0
12hpf,0,2.26,0,0,3.27,0,1571.51,3.81,2.78
14hpf,0,0,0,0,0,0,1038.42,0,11.6
16hpf,9.3,0,0,0,0,0,856.37,0,1.64
19hpf,41.36,0,0,0,0,0,258.78,0,0
24hpf,24.11,0,0,0,0,0,200.97,5.76,0
2dpf,10.87,0,0,4.74,522.2,1.87,12.76,1.75,2.15
3dpf,1.05,0,0,0,628.39,0,0,0.32,4.1
5dpf,3.25,0.37,0,0,591.87,0,0.37,0,2.83
10dpf,4.4,0,0.49,0,75.44,0,0,0,0
