stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest
2dpf,2.07,0,0,0,0
3dpf,0,0,0.87,0.8,0
5dpf,0.53,1.06,0,0.96,1.02
10dpf,0,1.97,1.08,1.72,1.59
