stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,0,0,0,1.62,0
3dpf,0.68,0,0,0,0
5dpf,0,0.81,0.32,0,0.49
