stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm
2dpf,0,0,0,1.42
3dpf,8.02,0,0,0
5dpf,0,0.86,0,0
10dpf,2.24,0,0.48,0
