stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,51.81
12hpf,0,0,0,0,0,0,0,0,9.45
14hpf,2.25,0,0,0,0,0,0,0,373.36
16hpf,0,0,0,1.8,0,0,0,0,54.73
19hpf,0,0,0,0,0,0,0,0,165.5
24hpf,1.75,0,0,0,0,0,0,0,37.4
2dpf,15.55,3.86,0.64,3.43,1.89,3.74,1.72,0.53,281.54
3dpf,8.8,4.57,0,0.6,0,1.19,0,0.35,78.14
5dpf,12.71,13.52,0.38,14.96,0,5.69,0,2.16,306.92
10dpf,13.55,17.2,0.43,5.72,0.8,2.22,0,2.39,182.92
