stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,1039.92,0,0,0,21.35,0,0,0,0
12hpf,782.15,0,0,0,57.07,3.91,0,9.17,3.97
14hpf,120.88,0,0,8.06,145.27,0,0,0,52.45
16hpf,6.21,0,0,8.4,168.19,0,0,0,76.54
19hpf,0,0,0,0,59.28,0,0,0,46.63
24hpf,5.63,0,0,19.65,69.32,2.04,2.46,1.93,9.15
2dpf,30.49,0,2.65,18.28,47.63,131.96,6.5,16.92,12.22
3dpf,34.56,0,0.78,1.71,16.47,197.74,1.02,7.14,7.15
5dpf,18.66,2.79,4.85,7.62,16.73,167.82,4.77,17.27,33.43
10dpf,8.3,2.39,4.24,1.95,6.3,105.11,4.86,11.78,6.56
