stage,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,0.76
3dpf,0,1.09,0,0
5dpf,0,1.93,0.3,0.7
10dpf,1.33,3.21,0,0
