stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,0.88,0
2dpf,0,1.37,0,0,0,0.53,14.03
3dpf,0,0.3,0,0.62,0,0.31,0.35
5dpf,0,10.2,0.37,0,0.49,0.47,13.97
10dpf,0.44,0,0,0,0,0.69,0.91
