stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,1.12,1.08,0,0
3dpf,6.37,0,0,0,0,0
5dpf,0,0,1.37,0,0,0.59
10dpf,8.61,0.39,0,0,0.62,0.58
