stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0.73,0,0.84,0,7.59
3dpf,0.82,0,0,0.38,1.34
5dpf,1.13,3.18,0,1,6.34
10dpf,0.38,0,0,0.94,0
