stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
24hpf,0.84,0,0,0.87,0.98,0
2dpf,2.51,0,1.49,0,0,1.04
3dpf,2.25,0.47,0,3.37,0,0
5dpf,1.43,0.61,0.53,0.46,0.47,1.03
10dpf,0.41,0.92,0,0,0,0.84
